Data,Hora,Tipus,Lloc,Competició,Esport,Partit,Qui juga,Nota
26/08/2026,19:00-20:00,,Poliesportiu,Masculí,Futbol sala,Quarts 2,Equip 3 - Equip 5,
26/08/2026,20:00-21:00,,Poliesportiu,Femení,Futbol sala,F1-F5,Las potras salvajes - Dynamos,
26/08/2026,21:00-22:00,,Poliesportiu,Femení,Futbol sala,F2-F3,Tocapelotas - Motomamis,
26/08/2026,22:00-23:00,,Poliesportiu,Masculí,Futbol sala,Quarts 3,Guanyador P2 - Equip 7,
26/08/2026,23:00-00:00,,Poliesportiu,Masculí,Futbol sala,Quarts 4,Equip 6 - Equip 9,
27/08/2026,18:00-19:00,,Poliesportiu,Femení,Futbol sala,F1-F4,Las potras salvajes - Birra sana,
27/08/2026,19:00-20:00,,Poliesportiu,Femení,Futbol sala,F5-F3,Dynamos - Motomamis,
27/08/2026,20:00-21:00,,Altres,Femení,Dards,"F1-F4, F5-F3","F1-F4: Las potras salvajes - Birra sana
F5-F3: Dynamos - Motomamis",
27/08/2026,21:00-22:00,,Altres,Masculí,Dards,"7è i 8è lloc, 3r i 4t lloc",,
27/08/2026,,Límit,,Femení,"Petanca, Dòmino, Tennis, Frontó, Pàdel, Billar","F2-F3, F1-F4, F5-F3, F1-F3, F4-F2","F2-F3: Tocapelotas - Motomamis
F1-F4: Las potras salvajes - Birra sana
F5-F3: Dynamos - Motomamis
F1-F3: Las potras salvajes - Motomamis
F4-F2: Birra sana - Tocapelotas",LIMIT FINALITZACIÓ LLIGA
28/08/2026,18:00-19:00,,Poliesportiu,Masculí,Futbol sala,9è i 10è lloc,,
28/08/2026,19:00-20:00,,Poliesportiu,Masculí,Futbol sala,Semifinal consolació 1,,
28/08/2026,20:00-21:00,,Poliesportiu,Masculí,Futbol sala,Semifinal consolació 2,,
28/08/2026,20:00-21:00,,Altres,Femení,Dards,"F1-F3, F4-F2","F1-F3: Las potras salvajes - Motomamis
F4-F2: Birra sana - Tocapelotas",
28/08/2026,21:00-22:00,,Poliesportiu,Femení,Futbol sala,F1-F3,Las potras salvajes - Motomamis,
28/08/2026,21:00-22:00,,Altres,Masculí,Dards,"Final consolació · 5è i 6è lloc, Final",,
28/08/2026,22:00-23:00,,Poliesportiu,Femení,Futbol sala,F4-F2,Birra sana - Tocapelotas,
28/08/2026,23:00-00:00,,Poliesportiu,Masculí,Futbol sala,Semifinal 1,,
28/08/2026,00:00-01:00,,Poliesportiu,Masculí,Futbol sala,Semifinal 2,,
28/08/2026,,Límit,,Masculí,"Petanca, Dòmino, Tennis, Frontó, Pàdel, Billar","7è i 8è lloc, 3r i 4t lloc, Final consolació · 5è i 6è lloc, Final",,LIMIT 3ª-4ª I FINALS
29/08/2026,11:00-12:00,,Poliesportiu,Masculí,Futbol sala,7è i 8è lloc,,
29/08/2026,12:00-13:00,,Poliesportiu,Masculí,Futbol sala,3r i 4t lloc,,
29/08/2026,13:00-14:00,,Poliesportiu,Femení,Bàsquet,"F1-F3, F4-F2","F1-F3: Las potras salvajes - Motomamis
F4-F2: Birra sana - Tocapelotas",
29/08/2026,14:00-15:00,,Poliesportiu,Masculí,Handbol,9è i 10è lloc,,
29/08/2026,15:00-16:00,,Poliesportiu,Masculí,Handbol,Final consolació · 5è i 6è lloc,,
29/08/2026,16:00-17:00,,Poliesportiu,Masculí,Handbol,Final,,
29/08/2026,17:00-18:00,,Poliesportiu,Femení,Handbol,F1-F3,Las potras salvajes - Motomamis,
29/08/2026,18:00-19:00,,Poliesportiu,Femení,Handbol,F4-F2,Birra sana - Tocapelotas,
29/08/2026,19:00-20:00,,Poliesportiu,Masculí,Futbol sala,Final consolació · 5è i 6è lloc,,
29/08/2026,20:00-21:00,,Poliesportiu,Masculí,Futbol sala,Final,,
29/08/2026,21:00-06:00,Acte,Club de Begues,,,,,SOPAR CLOENDA
